pop,author,species,class,lat,lon,geo_meth,num_individuals,gene_diversity,allelic_richness,global_fst,urban,popden,hfi,num_loci,Ne,Ne_lower,Ne_upper
Robinson_48,Robinson,Odocoileus_virginianus,mammal,43.065717,-88.835034,coordinates,43,0.815752,5.462405,0.011805,1,48.66499996,50.60714286,14,NA,201,NA
Robinson_49,Robinson,Odocoileus_virginianus,mammal,42.888889,-88.83606,coordinates,14,0.797051,5.594094,0.007534,1,145.9733321,48.76953908,14,NA,31.6,NA
Robinson_5,Robinson,Odocoileus_virginianus,mammal,43.249223,-90.370489,coordinates,40,0.822184,5.656125,0.001902,1,9.984999895,41.8502994,14,188.1,82,NA
Robinson_50,Robinson,Odocoileus_virginianus,mammal,42.284319,-88.763869,coordinates,25,0.814763,5.60856,0.003544,1,150.6633358,53.51821862,14,25.3,17,42.8
Robinson_51,Robinson,Odocoileus_virginianus,mammal,42.197157,-88.763883,coordinates,11,0.797866,5.60673,-0.000626,1,30.48000097,51.31781377,14,729.1,23.2,NA
Robinson_52,Robinson,Odocoileus_virginianus,mammal,43.328084,-88.714276,coordinates,18,0.759513,5.141743,0.063403,1,52.88499832,44.97194389,14,24.7,13.2,74
Robinson_53,Robinson,Odocoileus_virginianus,mammal,42.711691,-88.719224,coordinates,39,0.818253,5.513594,0.007526,1,109.5699992,34.65384615,14,61.9,39.2,122.7
Robinson_54,Robinson,Odocoileus_virginianus,mammal,42.624494,-88.717741,coordinates,36,0.817948,5.603657,0.005747,1,114.9124994,45.53521127,14,NA,158.6,NA
Robinson_55,Robinson,Odocoileus_virginianus,mammal,42.5371,-88.717629,coordinates,10,0.790635,5.651874,0.000771,1,52.17000055,46.07676768,14,93,20.4,NA
Robinson_56,Robinson,Odocoileus_virginianus,mammal,42.799369,-88.60182,coordinates,38,0.82246,5.610699,0.002549,1,27.6449995,36.10821643,14,93.6,48.8,418.2
Robinson_57,Robinson,Odocoileus_virginianus,mammal,42.538718,-88.599538,coordinates,39,0.813013,5.5886,0.013545,1,78.16000223,45.87225549,14,408,90.1,NA
Robinson_58,Robinson,Odocoileus_virginianus,mammal,42.371113,-88.530579,coordinates,43,0.814493,5.488078,0.010591,1,68.71000004,42.89919355,14,171.4,67.2,NA
Robinson_59,Robinson,Odocoileus_virginianus,mammal,42.974596,-88.483033,coordinates,30,0.786173,5.137265,0.042766,1,69.19666672,37.29025845,14,NA,114.1,NA
Robinson_6,Robinson,Odocoileus_virginianus,mammal,42.813256,-90.367793,coordinates,16,0.793371,5.394128,0.018086,0,31.73250031,38.3625498,14,NA,61.4,NA
Robinson_60,Robinson,Odocoileus_virginianus,mammal,42.626361,-88.482202,coordinates,27,0.822974,5.633239,-0.003976,1,107.5625029,50.84989858,14,136.3,45.1,NA
Robinson_61,Robinson,Odocoileus_virginianus,mammal,42.370843,-88.4138,coordinates,15,0.784867,5.555948,0.026708,1,147.125,46.33939394,14,69.1,25.6,NA
Robinson_62,Robinson,Odocoileus_virginianus,mammal,42.625522,-88.364704,coordinates,27,0.806141,5.510991,0.014747,1,52.21000004,45.07474747,14,NA,82,NA
Robinson_63,Robinson,Odocoileus_virginianus,mammal,42.88614,-88.247532,coordinates,32,0.821043,5.525096,0.000804,1,143.8166656,50.6989899,14,225.8,65.8,NA
Robinson_64,Robinson,Odocoileus_virginianus,mammal,42.62604,-88.129363,coordinates,33,0.825224,5.644568,-0.003536,1,71.93999863,45.73991935,14,NA,116.5,NA
Robinson_7,Robinson,Odocoileus_virginianus,mammal,43.423423,-90.370254,coordinates,15,0.79132,5.442924,0.020409,1,24.92200012,25.05189621,14,56.8,23,NA
Robinson_8,Robinson,Odocoileus_virginianus,mammal,42.989454,-90.250798,coordinates,30,0.812531,5.505712,0.011915,1,23.90750074,34.56772908,14,NA,104.2,NA
Robinson_9,Robinson,Odocoileus_virginianus,mammal,43.162652,-90.251249,coordinates,34,0.806466,5.394921,0.020946,0,7.090000153,35.16468254,14,NA,199.3,NA
RR,MunshiSouth,Peromyscus_leucopus,mammal,40.688588,-73.88736,googlemaps,33,0.810056,5.385177,0.090215,1,7191.146647,84.31385281,18,36.7,26.9,53.8
S101,Serieys,Lynx_rufus,mammal,34.11722,-118.74851,averagedindividualcoords,124,0.726221,4.199354,0.008417,1,252.3400002,56.36792453,9,98.1,64.1,170.9
Sacks_fox_EB,Sacks,Vulpes_vulpes,mammal,37.603102,-122.126442,averagedindividualcoords,54,0.607779,3.592483,0.143058,1,2420.589966,77.43147208,13,14,10.5,18.7
Sacks_fox_HMB,Sacks,Vulpes_vulpes,mammal,37.465133,-122.446987,averagedindividualcoords,24,0.646952,3.830672,0.071228,1,72.16000366,48.57541899,13,11.3,7.6,17.2
Sacks_fox_MB,Sacks,Vulpes_vulpes,mammal,35.410432,-120.812971,averagedindividualcoords,19,0.604262,3.369228,0.140687,1,42.79333305,40.34883721,13,2.2,1.8,2.9
Sacks_fox_MONT,Sacks,Vulpes_vulpes,mammal,36.782108,-121.773354,averagedindividualcoords,116,0.688181,4.009416,0.034324,1,384.5999908,67.89177489,13,39.1,31.3,49.3
Sacks_fox_SB,Sacks,Vulpes_vulpes,mammal,34.420333,-119.752857,averagedindividualcoords,12,0.611738,3.525119,0.10493,1,2028.089966,70.37640449,13,2.6,1.8,5.5
Sacks_fox_Sba,Sacks,Vulpes_vulpes,mammal,37.445173,-122.041664,averagedindividualcoords,44,0.590333,3.421137,0.16545,1,1237.654953,74.56666667,13,16.3,11.6,23.4
Sacks_fox_SJN,Sacks,Vulpes_vulpes,mammal,38.286101,-121.169809,averagedindividualcoords,32,0.667558,3.876359,0.05617,1,27.73999977,35.18790497,13,11.7,8.2,16.9
Sacks_fox_SJS,Sacks,Vulpes_vulpes,mammal,35.735635,-119.334858,averagedindividualcoords,28,0.64985,3.869103,0.074977,1,112.7799948,40.83482143,13,25.2,15.2,51.1
Sacks_fox_SOCAL,Sacks,Vulpes_vulpes,mammal,33.914468,-118.243324,averagedindividualcoords,9,0.662173,4.034963,0.022292,1,3667.272522,84.59954751,13,6.8,2.7,20.7
